Command: netstat
Time: 2025-09-30 13:05:18 +05:00
Output: 
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.12.0.104:56900      4.213.25.241:https     ESTABLISHED
  TCP    10.12.0.104:56924      wk-in-f188:5228        ESTABLISHED
  TCP    10.12.0.104:57271      lb-140-82-114-26-iad:https  ESTABLISHED
  TCP    10.12.0.104:57311      104.18.26.90:https     ESTABLISHED
  TCP    10.12.0.104:57320      ec2-18-97-36-9:https   ESTABLISHED
  TCP    10.12.0.104:57351      163.181.160.143:https  ESTABLISHED
  TCP    10.12.0.104:57353      104.18.32.47:https     ESTABLISHED
  TCP    10.12.0.104:57359      172.64.148.235:https   ESTABLISHED
  TCP    10.12.0.104:57360      52.182.143.213:https   ESTABLISHED
  TCP    10.12.0.104:57365      cdn-185-199-111-133:https  ESTABLISHED
  TCP    10.12.0.104:57387      lb-140-82-113-22-iad:https  ESTABLISHED
  TCP    10.12.0.104:57409      20.207.73.85:https     ESTABLISHED
  TCP    10.12.0.104:57410      lb-140-82-114-21-iad:https  TIME_WAIT
  TCP    10.12.0.104:57411      57.155.141.117:https   TIME_WAIT
  TCP    10.12.0.104:57414      20.190.146.37:https    TIME_WAIT
  TCP    10.12.0.104:57415      52.139.252.32:https    ESTABLISHED
  TCP    10.12.0.104:57430      a184-86-250-24:https   ESTABLISHED
  TCP    10.12.0.104:57446      13.107.246.62:https    ESTABLISHED
  TCP    10.12.0.104:57447      13.107.246.62:https    ESTABLISHED
  TCP    127.0.0.1:49670        DESKTOP-2O2C6JJ:49671  ESTABLISHED
  TCP    127.0.0.1:49671        DESKTOP-2O2C6JJ:49670  ESTABLISHED


